"No.","Time","Source","Destination","Protocol","Length","Info"
"10001","375.057686856","192.168.239.25","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"10002","375.062327161","2600:1901:1:b05::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.3","749","Application Data, Application Data"
"10003","375.062459921","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:b05::","TCP","86","60888  >  443 [ACK] Seq=1505 Ack=4066 Win=63616 Len=0 TSval=2957360498 TSecr=2547991722"
"10004","375.063493651","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","1292","Protected Payload (KP0), DCID=d90bfc3231755645"
"10005","375.067654330","2600:1901:1:b05::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.3","638","Application Data"
"10006","375.067675880","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:b05::","TCP","86","60888  >  443 [ACK] Seq=1505 Ack=4618 Win=63104 Len=0 TSval=2957360503 TSecr=2547991729"
"10007","375.069594020","192.168.239.25","192.168.239.67","DNS","85","Standard query 0xd535 A gae2-spclient.spotify.com"
"10008","375.069813864","192.168.239.25","192.168.239.67","DNS","85","Standard query 0x4629 AAAA gae2-spclient.spotify.com"
"10009","375.071030334","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","391","Protected Payload (KP0), DCID=eebeed2a9910317d"
"10010","375.071247088","192.168.239.25","192.168.239.67","DNS","83","Standard query 0xe8d0 A api-partner.spotify.com"
"10011","375.071338975","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:b05::","TLSv1.3","129","Application Data"
"10012","375.071385839","192.168.239.25","192.168.239.67","DNS","83","Standard query 0x78e4 AAAA api-partner.spotify.com"
"10013","375.073974982","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","209","Protected Payload (KP0), DCID=eebeed2a9910317d"
"10014","375.074085294","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","1292","Protected Payload (KP0), DCID=d90bfc3231755645"
"10015","375.079299359","2600:1901:0:524d::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","124","Protected Payload (KP0)"
"10016","375.079841954","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:0:524d::","QUIC","97","Protected Payload (KP0), DCID=da1069176167be76"
"10017","375.081938967","2600:1901:0:524d::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","399","Protected Payload (KP0)"
