"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.115","192.168.56.107","TCP","74","39201  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2592385752 TSecr=0 WS=128"
"2","0.000132","192.168.56.107","192.168.56.115","TCP","66","445  >  39201 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"3","0.000518","192.168.56.115","192.168.56.107","TCP","60","39201  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"4","0.004373","192.168.56.115","192.168.56.107","SMB","127","Negotiate Protocol Request"
"5","0.023381","192.168.56.107","192.168.56.115","TCP","54","445  >  39201 [ACK] Seq=1 Ack=74 Win=2102272 Len=0"
"6","0.241764","192.168.56.107","192.168.56.115","SMB2","228","Negotiate Protocol Response"
"7","0.242124","192.168.56.115","192.168.56.107","TCP","60","39201  >  445 [ACK] Seq=74 Ack=175 Win=64128 Len=0"
"8","0.275934","192.168.56.115","192.168.56.107","SMB2","266","Negotiate Protocol Request"
"9","0.288597","192.168.56.107","192.168.56.115","TCP","54","445  >  39201 [ACK] Seq=175 Ack=286 Win=2102016 Len=0"
"10","0.338216","192.168.56.107","192.168.56.115","SMB2","294","Negotiate Protocol Response"
"11","0.373447","192.168.56.115","192.168.56.107","SMB2","224","Session Setup Request, NTLMSSP_NEGOTIATE"
"12","0.397957","192.168.56.107","192.168.56.115","TCP","54","445  >  39201 [ACK] Seq=415 Ack=456 Win=2102016 Len=0"
"13","0.420641","192.168.56.107","192.168.56.115","SMB2","319","Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED, NTLMSSP_CHALLENGE"
"14","0.440051","192.168.56.115","192.168.56.107","SMB2","436","Session Setup Request, NTLMSSP_AUTH, User: .\\admin"
"15","0.462104","192.168.56.107","192.168.56.115","SMB2","130","Session Setup Response, Error: STATUS_LOGON_FAILURE"
"16","0.479561","192.168.56.115","192.168.56.107","SMB2","178","Encrypted SMB3"
"17","0.479749","192.168.56.107","192.168.56.115","TCP","54","445  >  39201 [RST, ACK] Seq=756 Ack=962 Win=0 Len=0"
"18","0.483822","192.168.56.115","192.168.56.107","TCP","74","35079  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2592386236 TSecr=0 WS=128"
"19","0.483995","192.168.56.107","192.168.56.115","TCP","66","445  >  35079 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"20","0.484335","192.168.56.115","192.168.56.107","TCP","60","35079  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"21","0.486991","192.168.56.115","192.168.56.107","SMB","127","Negotiate Protocol Request"
"22","0.507018","192.168.56.107","192.168.56.115","TCP","54","445  >  35079 [ACK] Seq=1 Ack=74 Win=2102272 Len=0"
"23","0.587932","192.168.56.107","192.168.56.115","SMB2","228","Negotiate Protocol Response"
"24","0.588198","192.168.56.115","192.168.56.107","TCP","60","35079  >  445 [ACK] Seq=74 Ack=175 Win=64128 Len=0"
"25","0.623943","192.168.56.115","192.168.56.107","SMB2","266","Negotiate Protocol Request"
"26","0.640164","192.168.56.107","192.168.56.115","SMB2","294","Negotiate Protocol Response"
"27","0.663583","192.168.56.107","192.168.56.115","TCP","294","[TCP Retransmission] 445  >  35079 [PSH, ACK] Seq=175 Ack=286 Win=2102016 Len=240"
