"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.201","192.168.56.107","TCP","66","45714  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.000463","192.168.56.107","192.168.56.201","TCP","66","445  >  45714 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"3","0.000512","192.168.56.201","192.168.56.107","TCP","54","45714  >  445 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"4","0.000783","192.168.56.201","192.168.56.107","TCP","54","45714  >  445 [FIN, ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"5","0.001010","192.168.56.107","192.168.56.201","TCP","54","445  >  45714 [ACK] Seq=1 Ack=2 Win=2102272 Len=0"
"6","0.001043","192.168.56.107","192.168.56.201","TCP","54","445  >  45714 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"7","0.008458","192.168.56.201","192.168.56.107","TCP","66","45715  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8","0.008646","192.168.56.107","192.168.56.201","TCP","66","445  >  45715 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"9","0.008705","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"10","0.008807","192.168.56.201","192.168.56.107","SMB","105","Negotiate Protocol Request"
"11","0.021216","192.168.56.107","192.168.56.201","SMB","185","Negotiate Protocol Response"
"12","0.030727","192.168.56.107","192.168.56.201","TCP","185","[TCP Retransmission] 445  >  45715 [PSH, ACK] Seq=1 Ack=52 Win=2102272 Len=131"
"13","0.030776","192.168.56.201","192.168.56.107","TCP","66","45715  >  445 [ACK] Seq=52 Ack=132 Win=2102016 Len=0 SLE=1 SRE=132"
"14","0.033936","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"15","0.036092","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"16","0.036146","192.168.56.201","192.168.56.107","SMB","814","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"17","0.036466","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"18","0.036483","192.168.56.201","192.168.56.107","SMB","358","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"19","0.036714","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"20","0.036884","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"21","0.036899","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=1268 Ack=1528 Win=2102272 Len=0"
"22","0.037058","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"23","0.037233","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"24","0.037246","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=1268 Ack=2226 Win=2101504 Len=0"
"25","0.038696","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"26","0.038979","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"27","0.039002","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=1268 Ack=2924 Win=2100992 Len=0"
"28","0.057719","192.168.56.201","192.168.56.107","SMB","454","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\administrator"
"29","0.061530","192.168.56.201","192.168.56.107","SMB","1514","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"30","0.061530","192.168.56.201","192.168.56.107","SMB","58","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\administrator"
"31","0.062092","192.168.56.107","192.168.56.201","TCP","54","445  >  45715 [ACK] Seq=2924 Ack=3132 Win=2102272 Len=0"
"32","0.062137","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"33","0.062234","192.168.56.107","192.168.56.201","TCP","54","445  >  45715 [ACK] Seq=2924 Ack=3284 Win=2102016 Len=0"
"34","0.062876","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"35","0.075416","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"36","0.075481","192.168.56.201","192.168.56.107","SMB","1366","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"37","0.075513","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"38","0.075527","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=4748 Ack=3312 Win=2102272 Len=0"
"39","0.075543","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"40","0.075556","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=4748 Ack=3661 Win=2102016 Len=0"
"41","0.075572","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"42","0.075589","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"43","0.075599","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=4748 Ack=4359 Win=2101248 Len=0"
"44","0.075611","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"45","0.075739","192.168.56.107","192.168.56.201","TCP","54","445  >  45715 [ACK] Seq=4708 Ack=4748 Win=2102272 Len=0"
"46","0.075874","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"47","0.075887","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=4748 Ack=5057 Win=2102272 Len=0"
"48","0.076204","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"49","0.076228","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"50","0.079137","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"51","0.079191","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"52","0.079217","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"53","0.079234","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"54","0.079245","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=5052 Ack=6453 Win=2100992 Len=0"
"55","0.079258","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"56","0.079270","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=5052 Ack=6802 Win=2102272 Len=0"
"57","0.079314","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"58","0.079326","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=5052 Ack=7151 Win=2102016 Len=0"
"59","0.079433","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"60","0.079487","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"61","0.079497","192.168.56.201","192.168.56.107","TCP","54","45715  >  445 [ACK] Seq=5052 Ack=7539 Win=2101504 Len=0"
"62","0.080991","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
