"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.201","192.168.56.115","TCP","66","6108  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.000175","192.168.56.115","192.168.56.201","TCP","66","3306  >  6108 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"3","0.000230","192.168.56.201","192.168.56.115","TCP","54","6108  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"4","0.000303","192.168.56.201","192.168.56.115","TCP","54","6108  >  3306 [FIN, ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"5","0.000870","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"6","0.000909","192.168.56.201","192.168.56.115","TCP","54","6108  >  3306 [RST, ACK] Seq=2 Ack=79 Win=0 Len=0"
"7","0.000956","192.168.56.115","192.168.56.201","TCP","60","3306  >  6108 [FIN, ACK] Seq=79 Ack=2 Win=64256 Len=0"
"8","0.000984","192.168.56.201","192.168.56.115","TCP","66","6109  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"9","0.001177","192.168.56.115","192.168.56.201","TCP","66","3306  >  6109 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"10","0.001227","192.168.56.201","192.168.56.115","TCP","54","6109  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"11","0.001550","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"12","0.001610","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"13","0.001722","192.168.56.115","192.168.56.201","TCP","60","3306  >  6109 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"14","0.001765","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"15","0.001788","192.168.56.115","192.168.56.201","TCP","60","3306  >  6109 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"16","0.001798","192.168.56.201","192.168.56.115","TCP","54","6109  >  3306 [FIN, ACK] Seq=91 Ack=160 Win=2102016 Len=0"
"17","0.001806","192.168.56.201","192.168.56.115","TCP","54","6109  >  3306 [ACK] Seq=92 Ack=161 Win=2102016 Len=0"
"18","0.001897","192.168.56.115","192.168.56.201","TCP","60","3306  >  6109 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"19","0.001970","192.168.56.201","192.168.56.115","TCP","66","6110  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"20","0.002084","192.168.56.115","192.168.56.201","TCP","66","3306  >  6110 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"21","0.002120","192.168.56.201","192.168.56.115","TCP","54","6110  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"22","0.002333","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"23","0.002373","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"24","0.002459","192.168.56.115","192.168.56.201","TCP","60","3306  >  6110 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"25","0.002517","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"26","0.002535","192.168.56.115","192.168.56.201","TCP","60","3306  >  6110 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"27","0.002550","192.168.56.201","192.168.56.115","TCP","54","6110  >  3306 [FIN, ACK] Seq=91 Ack=161 Win=2102016 Len=0"
"28","0.002648","192.168.56.115","192.168.56.201","TCP","60","3306  >  6110 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"29","0.002767","192.168.56.201","192.168.56.115","TCP","66","6111  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"30","0.002885","192.168.56.115","192.168.56.201","TCP","66","3306  >  6111 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"31","0.002927","192.168.56.201","192.168.56.115","TCP","54","6111  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"32","0.003138","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"33","0.003204","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"34","0.003318","192.168.56.115","192.168.56.201","TCP","60","3306  >  6111 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"35","0.003378","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"36","0.003400","192.168.56.115","192.168.56.201","TCP","60","3306  >  6111 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"37","0.003420","192.168.56.201","192.168.56.115","TCP","54","6111  >  3306 [FIN, ACK] Seq=91 Ack=161 Win=2102016 Len=0"
"38","0.003508","192.168.56.115","192.168.56.201","TCP","60","3306  >  6111 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"39","0.003605","192.168.56.201","192.168.56.115","TCP","66","6112  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"40","0.003690","192.168.56.115","192.168.56.201","TCP","66","3306  >  6112 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"41","0.003728","192.168.56.201","192.168.56.115","TCP","54","6112  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"42","0.003984","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"43","0.004028","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"44","0.004111","192.168.56.115","192.168.56.201","TCP","60","3306  >  6112 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"45","0.004164","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"46","0.004187","192.168.56.115","192.168.56.201","TCP","60","3306  >  6112 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"47","0.004200","192.168.56.201","192.168.56.115","TCP","54","6112  >  3306 [ACK] Seq=91 Ack=161 Win=2102016 Len=0"
"48","0.004205","192.168.56.201","192.168.56.115","TCP","54","6112  >  3306 [FIN, ACK] Seq=91 Ack=161 Win=2102016 Len=0"
"49","0.004321","192.168.56.115","192.168.56.201","TCP","60","3306  >  6112 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"50","0.004398","192.168.56.201","192.168.56.115","TCP","66","6113  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"51","0.004505","192.168.56.115","192.168.56.201","TCP","66","3306  >  6113 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"52","0.004538","192.168.56.201","192.168.56.115","TCP","54","6113  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"53","0.004749","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"54","0.004804","192.168.56.201","192.168.56.115","MySQL","124","Login Request user=root db=mysql "
"55","0.004923","192.168.56.115","192.168.56.201","TCP","60","3306  >  6113 [ACK] Seq=79 Ack=71 Win=64256 Len=0"
"56","0.004978","192.168.56.115","192.168.56.201","MySQL","134","Response  Error 1045 "
"57","0.005006","192.168.56.115","192.168.56.201","TCP","60","3306  >  6113 [FIN, ACK] Seq=159 Ack=71 Win=64256 Len=0"
"58","0.005055","192.168.56.201","192.168.56.115","TCP","54","6113  >  3306 [FIN, ACK] Seq=71 Ack=160 Win=2102016 Len=0"
"59","0.005237","192.168.56.115","192.168.56.201","TCP","60","3306  >  6113 [ACK] Seq=160 Ack=72 Win=64256 Len=0"
"60","0.005248","192.168.56.201","192.168.56.115","TCP","66","6114  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"61","0.005353","192.168.56.115","192.168.56.201","TCP","66","3306  >  6114 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"62","0.005391","192.168.56.201","192.168.56.115","TCP","54","6114  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"63","0.005654","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"64","0.005703","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"65","0.005809","192.168.56.115","192.168.56.201","TCP","60","3306  >  6114 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"66","0.005880","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"67","0.005905","192.168.56.115","192.168.56.201","TCP","60","3306  >  6114 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"68","0.005915","192.168.56.201","192.168.56.115","TCP","54","6114  >  3306 [FIN, ACK] Seq=91 Ack=160 Win=2102016 Len=0"
"69","0.005925","192.168.56.201","192.168.56.115","TCP","54","6114  >  3306 [ACK] Seq=92 Ack=161 Win=2102016 Len=0"
"70","0.006007","192.168.56.115","192.168.56.201","TCP","60","3306  >  6114 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"71","0.006083","192.168.56.201","192.168.56.115","TCP","66","6115  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"72","0.006190","192.168.56.115","192.168.56.201","TCP","66","3306  >  6115 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"73","0.006222","192.168.56.201","192.168.56.115","TCP","54","6115  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"74","0.006425","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"75","0.006467","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"76","0.006550","192.168.56.115","192.168.56.201","TCP","60","3306  >  6115 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"77","0.006634","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"78","0.006664","192.168.56.115","192.168.56.201","TCP","60","3306  >  6115 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"79","0.006667","192.168.56.201","192.168.56.115","TCP","54","6115  >  3306 [FIN, ACK] Seq=91 Ack=160 Win=2102016 Len=0"
"80","0.006677","192.168.56.201","192.168.56.115","TCP","54","6115  >  3306 [ACK] Seq=92 Ack=161 Win=2102016 Len=0"
"81","0.006784","192.168.56.115","192.168.56.201","TCP","60","3306  >  6115 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"82","0.006874","192.168.56.201","192.168.56.115","TCP","66","6116  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"83","0.006947","192.168.56.115","192.168.56.201","TCP","66","3306  >  6116 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"84","0.006976","192.168.56.201","192.168.56.115","TCP","54","6116  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"85","0.007158","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"86","0.007194","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"87","0.007270","192.168.56.115","192.168.56.201","TCP","60","3306  >  6116 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"88","0.007339","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"89","0.007364","192.168.56.115","192.168.56.201","TCP","60","3306  >  6116 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"90","0.007372","192.168.56.201","192.168.56.115","TCP","54","6116  >  3306 [FIN, ACK] Seq=91 Ack=160 Win=2102016 Len=0"
"91","0.007382","192.168.56.201","192.168.56.115","TCP","54","6116  >  3306 [ACK] Seq=92 Ack=161 Win=2102016 Len=0"
"92","0.007430","192.168.56.115","192.168.56.201","TCP","60","3306  >  6116 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"93","0.007536","192.168.56.201","192.168.56.115","TCP","66","6117  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"94","0.007618","192.168.56.115","192.168.56.201","TCP","66","3306  >  6117 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"95","0.007636","192.168.56.201","192.168.56.115","TCP","54","6117  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"96","0.007820","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"97","0.007868","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"98","0.008041","192.168.56.115","192.168.56.201","TCP","60","3306  >  6117 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"99","0.008102","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"100","0.008125","192.168.56.115","192.168.56.201","TCP","60","3306  >  6117 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"101","0.008140","192.168.56.201","192.168.56.115","TCP","54","6117  >  3306 [ACK] Seq=91 Ack=161 Win=2102016 Len=0"
"102","0.008152","192.168.56.201","192.168.56.115","TCP","54","6117  >  3306 [FIN, ACK] Seq=91 Ack=161 Win=2102016 Len=0"
"103","0.008299","192.168.56.115","192.168.56.201","TCP","60","3306  >  6117 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"104","0.008323","192.168.56.201","192.168.56.115","TCP","66","6118  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"105","0.008588","192.168.56.115","192.168.56.201","TCP","66","3306  >  6118 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"106","0.008621","192.168.56.201","192.168.56.115","TCP","54","6118  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"107","0.008856","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"108","0.008904","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"109","0.010352","192.168.56.115","192.168.56.201","TCP","60","3306  >  6118 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"110","0.010413","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"111","0.010437","192.168.56.115","192.168.56.201","TCP","60","3306  >  6118 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"112","0.010457","192.168.56.201","192.168.56.115","TCP","54","6118  >  3306 [FIN, ACK] Seq=91 Ack=160 Win=2102016 Len=0"
"113","0.010469","192.168.56.201","192.168.56.115","TCP","54","6118  >  3306 [ACK] Seq=92 Ack=161 Win=2102016 Len=0"
"114","0.010533","192.168.56.115","192.168.56.201","TCP","60","3306  >  6118 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
"115","0.010655","192.168.56.201","192.168.56.115","TCP","66","6119  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"116","0.010733","192.168.56.115","192.168.56.201","TCP","66","3306  >  6119 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"117","0.010760","192.168.56.201","192.168.56.115","TCP","54","6119  >  3306 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"118","0.010945","192.168.56.115","192.168.56.201","MySQL","132","Server Greeting  proto=10 version=5.7.36 "
"119","0.011007","192.168.56.201","192.168.56.115","MySQL","144","Login Request user=root db=mysql "
"120","0.011105","192.168.56.115","192.168.56.201","TCP","60","3306  >  6119 [ACK] Seq=79 Ack=91 Win=64256 Len=0"
"121","0.011158","192.168.56.115","192.168.56.201","MySQL","135","Response  Error 1045 "
"122","0.011174","192.168.56.115","192.168.56.201","TCP","60","3306  >  6119 [FIN, ACK] Seq=160 Ack=91 Win=64256 Len=0"
"123","0.011184","192.168.56.201","192.168.56.115","TCP","54","6119  >  3306 [ACK] Seq=91 Ack=161 Win=2102016 Len=0"
"124","0.011194","192.168.56.201","192.168.56.115","TCP","54","6119  >  3306 [FIN, ACK] Seq=91 Ack=161 Win=2102016 Len=0"
"125","0.011276","192.168.56.115","192.168.56.201","TCP","60","3306  >  6119 [ACK] Seq=161 Ack=92 Win=64256 Len=0"
