"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.201","192.168.56.115","TCP","66","12949  >  6379 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.000313","192.168.56.115","192.168.56.201","TCP","66","6379  >  12949 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"3","0.000364","192.168.56.201","192.168.56.115","TCP","54","12949  >  6379 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"4","0.000446","192.168.56.201","192.168.56.115","TCP","54","12949  >  6379 [FIN, ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"5","0.000719","192.168.56.115","192.168.56.201","TCP","60","6379  >  12949 [FIN, ACK] Seq=1 Ack=2 Win=64256 Len=0"
"6","0.000749","192.168.56.201","192.168.56.115","TCP","54","12949  >  6379 [ACK] Seq=2 Ack=2 Win=2102272 Len=0"
"7","0.003139","192.168.56.201","192.168.56.115","TCP","66","12950  >  6379 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8","0.003366","192.168.56.115","192.168.56.201","TCP","66","6379  >  12950 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"9","0.003420","192.168.56.201","192.168.56.115","TCP","54","12950  >  6379 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"10","0.003489","192.168.56.201","192.168.56.115","RESP","60","Request: [fragment]"
"11","0.003601","192.168.56.115","192.168.56.201","TCP","60","6379  >  12950 [ACK] Seq=1 Ack=7 Win=64256 Len=0"
"12","0.003699","192.168.56.115","192.168.56.201","RESP","88","Response: Error: NOAUTH Authentication required."
"13","0.044039","192.168.56.201","192.168.56.115","TCP","54","12950  >  6379 [ACK] Seq=7 Ack=35 Win=2102272 Len=0"
"14","1.003797","192.168.56.201","192.168.56.115","TCP","54","12950  >  6379 [FIN, ACK] Seq=7 Ack=35 Win=2102272 Len=0"
"15","1.004064","192.168.56.201","192.168.56.115","TCP","66","12951  >  6379 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"16","1.004417","192.168.56.115","192.168.56.201","TCP","66","6379  >  12951 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"17","1.004472","192.168.56.201","192.168.56.115","TCP","54","12951  >  6379 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"18","1.004529","192.168.56.201","192.168.56.115","RESP","67","Request: [fragment]"
"19","1.004673","192.168.56.115","192.168.56.201","TCP","60","6379  >  12950 [FIN, ACK] Seq=35 Ack=8 Win=64256 Len=0"
"20","1.004708","192.168.56.201","192.168.56.115","TCP","54","12950  >  6379 [ACK] Seq=8 Ack=36 Win=2102272 Len=0"
"21","1.004740","192.168.56.115","192.168.56.201","TCP","60","6379  >  12951 [ACK] Seq=1 Ack=14 Win=64256 Len=0"
