"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.2","10.128.0.2","TCP","74","37361  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=1381373 TSecr=0 WS=128"
"2","0.000300","10.0.0.2","10.128.0.2","TCP","74","37362  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=1381373 TSecr=0 WS=128"
"3","0.003313","10.0.0.2","10.128.0.2","TCP","74","37363  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=1381374 TSecr=0 WS=128"
"4","0.003504","10.0.0.2","10.128.0.2","TCP","74","37364  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=1381374 TSecr=0 WS=128"
"5","0.005802","10.0.0.2","10.128.0.2","TCP","74","37365  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=1381375 TSecr=0 WS=128"
"6","0.006453","10.0.0.2","10.128.0.2","TCP","74","37366  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=1381375 TSecr=0 WS=128"
"7","0.006657","10.0.0.2","10.128.0.2","TCP","74","37367  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=1381375 TSecr=0 WS=128"
"8","0.006957","10.0.0.2","10.128.0.2","TCP","74","37368  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=1381375 TSecr=0 WS=128"
"9","0.009700","10.0.0.2","10.128.0.2","TCP","74","37369  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=1381376 TSecr=0 WS=128"
"10","0.011980","10.0.0.2","10.128.0.2","TCP","74","37370  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=1381376 TSecr=0 WS=128"
"11","0.021172","10.128.0.2","10.0.0.2","TCP","74","80  >  37361 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=63439363 TSecr=1381373 WS=128"
"12","0.021225","10.0.0.2","10.128.0.2","TCP","66","37361  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=1381379 TSecr=63439363"
"13","0.021333","10.0.0.2","10.128.0.2","HTTP","219","GET / HTTP/1.1 "
"14","0.021967","10.128.0.2","10.0.0.2","TCP","74","80  >  37362 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=63439363 TSecr=1381373 WS=128"
"15","0.022028","10.0.0.2","10.128.0.2","TCP","66","37362  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=1381379 TSecr=63439363"
