"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","154.49.2.126","119.162.193.187","TCP","74","52074  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309376 TSecr=0 WS=128"
"2","0.006674","119.162.193.187","154.49.2.126","TCP","74","80  >  52074 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=96939986 TSecr=4309376 WS=512"
"3","0.006742","154.49.2.126","119.162.193.187","TCP","66","52074  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=4309377 TSecr=96939986"
"4","0.022204","154.49.2.126","119.162.193.187","TCP","305","52074  >  80 [PSH, ACK] Seq=1 Ack=1 Win=28416 Len=239 TSval=4309381 TSecr=96939986 [TCP PDU reassembled in 5501]"
"5","0.022618","154.49.2.126","119.162.193.187","TCP","74","52075  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309381 TSecr=0 WS=128"
"6","0.024259","154.49.2.126","119.162.193.187","TCP","74","52076  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309382 TSecr=0 WS=128"
"7","0.027801","119.162.193.187","154.49.2.126","TCP","66","80  >  52074 [ACK] Seq=1 Ack=240 Win=30208 Len=0 TSval=96939992 TSecr=4309381"
"8","0.028471","119.162.193.187","154.49.2.126","TCP","74","80  >  52075 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=206607068 TSecr=4309381 WS=512"
"9","0.028526","154.49.2.126","119.162.193.187","TCP","66","52075  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=4309383 TSecr=206607068"
"10","0.028692","154.49.2.126","119.162.193.187","TCP","305","52075  >  80 [PSH, ACK] Seq=1 Ack=1 Win=28416 Len=239 TSval=4309383 TSecr=206607068 [TCP PDU reassembled in 5502]"
"11","0.029133","154.49.2.126","119.162.193.187","TCP","74","52077  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309383 TSecr=0 WS=128"
"12","0.029987","119.162.193.187","154.49.2.126","TCP","74","80  >  52076 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=97820911 TSecr=4309382 WS=512"
"13","0.030015","154.49.2.126","119.162.193.187","TCP","66","52076  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=4309383 TSecr=97820911"
"14","0.030237","154.49.2.126","119.162.193.187","TCP","305","52076  >  80 [PSH, ACK] Seq=1 Ack=1 Win=28416 Len=239 TSval=4309383 TSecr=97820911 [TCP PDU reassembled in 5601]"
"15","0.030667","154.49.2.126","119.162.193.187","TCP","74","52078  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309383 TSecr=0 WS=128"
"16","0.034174","119.162.193.187","154.49.2.126","TCP","66","80  >  52075 [ACK] Seq=1 Ack=240 Win=30208 Len=0 TSval=206607069 TSecr=4309383"
"17","0.034926","119.162.193.187","154.49.2.126","TCP","74","80  >  52077 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=207163674 TSecr=4309383 WS=512"
"18","0.035019","154.49.2.126","119.162.193.187","TCP","66","52077  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=4309384 TSecr=207163674"
"19","0.035343","154.49.2.126","119.162.193.187","TCP","305","52077  >  80 [PSH, ACK] Seq=1 Ack=1 Win=28416 Len=239 TSval=4309384 TSecr=207163674 [TCP PDU reassembled in 5503]"
"20","0.035554","119.162.193.187","154.49.2.126","TCP","66","80  >  52076 [ACK] Seq=1 Ack=240 Win=30208 Len=0 TSval=97820912 TSecr=4309383"
"21","0.035819","154.49.2.126","119.162.193.187","TCP","74","52079  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309385 TSecr=0 WS=128"
"22","0.036747","119.162.193.187","154.49.2.126","TCP","74","80  >  52078 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=100624298 TSecr=4309383 WS=512"
"23","0.036785","154.49.2.126","119.162.193.187","TCP","66","52078  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=4309385 TSecr=100624298"
"24","0.036946","154.49.2.126","119.162.193.187","TCP","305","52078  >  80 [PSH, ACK] Seq=1 Ack=1 Win=28416 Len=239 TSval=4309385 TSecr=100624298 [TCP PDU reassembled in 5602]"
"25","0.037570","154.49.2.126","119.162.193.187","TCP","74","52080  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309385 TSecr=0 WS=128"
"26","0.040648","119.162.193.187","154.49.2.126","TCP","66","80  >  52077 [ACK] Seq=1 Ack=240 Win=30208 Len=0 TSval=207163676 TSecr=4309384"
"27","0.041814","119.162.193.187","154.49.2.126","TCP","74","80  >  52079 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=250706368 TSecr=4309385 WS=512"
"28","0.041854","154.49.2.126","119.162.193.187","TCP","66","52079  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=4309386 TSecr=250706368"
"29","0.042199","154.49.2.126","119.162.193.187","TCP","305","52079  >  80 [PSH, ACK] Seq=1 Ack=1 Win=28416 Len=239 TSval=4309386 TSecr=250706368 [TCP PDU reassembled in 5504]"
"30","0.042558","119.162.193.187","154.49.2.126","TCP","66","80  >  52078 [ACK] Seq=1 Ack=240 Win=30208 Len=0 TSval=100624299 TSecr=4309385"
"31","0.042617","154.49.2.126","119.162.193.187","TCP","74","52081  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309386 TSecr=0 WS=128"
"32","0.043311","119.162.193.187","154.49.2.126","TCP","74","80  >  52080 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=251325019 TSecr=4309385 WS=512"
"33","0.043349","154.49.2.126","119.162.193.187","TCP","66","52080  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=4309386 TSecr=251325019"
"34","0.043518","154.49.2.126","119.162.193.187","TCP","305","52080  >  80 [PSH, ACK] Seq=1 Ack=1 Win=28416 Len=239 TSval=4309386 TSecr=251325019 [TCP PDU reassembled in 5603]"
"35","0.044007","154.49.2.126","119.162.193.187","TCP","74","52082  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309387 TSecr=0 WS=128"
"36","0.047795","119.162.193.187","154.49.2.126","TCP","66","80  >  52079 [ACK] Seq=1 Ack=240 Win=30208 Len=0 TSval=250706370 TSecr=4309386"
"37","0.048517","119.162.193.187","154.49.2.126","TCP","74","80  >  52081 [SYN, ACK] Seq=0 Ack=1 Win=15928 Len=0 MSS=1460 SACK_PERM TSval=53520919 TSecr=4309386 WS=512"
"38","0.048556","154.49.2.126","119.162.193.187","TCP","66","52081  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=4309388 TSecr=53520919"
"39","0.048749","154.49.2.126","119.162.193.187","TCP","305","52081  >  80 [PSH, ACK] Seq=1 Ack=1 Win=28416 Len=239 TSval=4309388 TSecr=53520919 [TCP PDU reassembled in 5505]"
"40","0.049013","119.162.193.187","154.49.2.126","TCP","66","80  >  52080 [ACK] Seq=1 Ack=240 Win=30208 Len=0 TSval=251325020 TSecr=4309386"
"41","0.049203","154.49.2.126","119.162.193.187","TCP","74","52083  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309388 TSecr=0 WS=128"
"42","0.049652","119.162.193.187","154.49.2.126","TCP","74","80  >  52082 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=7745538 TSecr=4309387 WS=512"
"43","0.049675","154.49.2.126","119.162.193.187","TCP","66","52082  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=4309388 TSecr=7745538"
"44","0.049821","154.49.2.126","119.162.193.187","TCP","305","52082  >  80 [PSH, ACK] Seq=1 Ack=1 Win=28416 Len=239 TSval=4309388 TSecr=7745538 [TCP PDU reassembled in 5604]"
"45","0.050232","154.49.2.126","119.162.193.187","TCP","74","52084  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309388 TSecr=0 WS=128"
"46","0.054200","119.162.193.187","154.49.2.126","TCP","66","80  >  52081 [ACK] Seq=1 Ack=240 Win=17408 Len=0 TSval=53520920 TSecr=4309388"
"47","0.055080","119.162.193.187","154.49.2.126","TCP","74","80  >  52083 [SYN, ACK] Seq=0 Ack=1 Win=15928 Len=0 MSS=1460 SACK_PERM TSval=37077118 TSecr=4309388 WS=512"
"48","0.055123","154.49.2.126","119.162.193.187","TCP","66","52083  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=4309389 TSecr=37077118"
"49","0.055138","119.162.193.187","154.49.2.126","TCP","66","80  >  52082 [ACK] Seq=1 Ack=240 Win=30208 Len=0 TSval=7745540 TSecr=4309388"
"50","0.055329","154.49.2.126","119.162.193.187","TCP","305","52083  >  80 [PSH, ACK] Seq=1 Ack=1 Win=28416 Len=239 TSval=4309389 TSecr=37077118 [TCP PDU reassembled in 5506]"
"51","0.055720","154.49.2.126","119.162.193.187","TCP","74","52085  >  80 [SYN] Seq=0 Win=28400 Len=0 MSS=1420 SACK_PERM TSval=4309389 TSecr=0 WS=128"
"52","0.056142","119.162.193.187","154.49.2.126","TCP","74","80  >  52084 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=210656827 TSecr=4309388 WS=512"
"53","0.056165","154.49.2.126","119.162.193.187","TCP","66","52084  >  80 [ACK] Seq=1 Ack=1 Win=28416 Len=0 TSval=4309390 TSecr=210656827"
"54","0.056307","154.49.2.126","119.162.193.187","TCP","305","52084  >  80 [PSH, ACK] Seq=1 Ack=1 Win=28416 Len=239 TSval=4309390 TSecr=210656827 [TCP PDU reassembled in 5605]"
