"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=3439/28429, ttl=64 (no response found!)"
"2","0.000628","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=3695/28430, ttl=64 (no response found!)"
"3","0.000688","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=3951/28431, ttl=64 (no response found!)"
"4","0.001091","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=4207/28432, ttl=64 (no response found!)"
"5","0.001550","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=4463/28433, ttl=64 (no response found!)"
"6","0.002020","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=4719/28434, ttl=64 (no response found!)"
"7","0.002467","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=4975/28435, ttl=64 (no response found!)"
"8","0.002902","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=5231/28436, ttl=64 (no response found!)"
"9","0.003329","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=5487/28437, ttl=64 (no response found!)"
"10","0.003756","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=5743/28438, ttl=64 (no response found!)"
"11","0.004182","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=5999/28439, ttl=64 (no response found!)"
"12","0.004646","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=6255/28440, ttl=64 (no response found!)"
"13","0.005072","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=6511/28441, ttl=64 (no response found!)"
"14","0.005475","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=6767/28442, ttl=64 (no response found!)"
"15","0.005903","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=7023/28443, ttl=64 (no response found!)"
"16","0.006327","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=7279/28444, ttl=64 (no response found!)"
"17","0.006751","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=7535/28445, ttl=64 (no response found!)"
"18","0.007174","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=7791/28446, ttl=64 (no response found!)"
"19","0.007597","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=8047/28447, ttl=64 (no response found!)"
"20","0.008020","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=8303/28448, ttl=64 (no response found!)"
"21","0.008446","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=8559/28449, ttl=64 (no response found!)"
"22","0.008873","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=8815/28450, ttl=64 (no response found!)"
"23","0.009301","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=9071/28451, ttl=64 (no response found!)"
"24","0.009725","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=9327/28452, ttl=64 (no response found!)"
"25","0.010189","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=9583/28453, ttl=64 (no response found!)"
"26","0.010614","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=9839/28454, ttl=64 (no response found!)"
"27","0.011038","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=10095/28455, ttl=64 (no response found!)"
"28","0.011462","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=10351/28456, ttl=64 (no response found!)"
"29","0.011884","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=10607/28457, ttl=64 (no response found!)"
"30","0.012308","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=10863/28458, ttl=64 (no response found!)"
"31","0.012732","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=11119/28459, ttl=64 (no response found!)"
"32","0.013158","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=11375/28460, ttl=64 (no response found!)"
"33","0.013582","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=11631/28461, ttl=64 (no response found!)"
"34","0.014004","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=11887/28462, ttl=64 (no response found!)"
"35","0.014425","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=12143/28463, ttl=64 (no response found!)"
"36","0.014847","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=12399/28464, ttl=64 (no response found!)"
"37","0.015269","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=12655/28465, ttl=64 (no response found!)"
"38","0.015693","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=12911/28466, ttl=64 (no response found!)"
"39","0.016116","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=13167/28467, ttl=64 (no response found!)"
"40","0.016541","10.0.0.2","10.128.0.2","ICMP","42","Echo (ping) request  id=0x5c12, seq=13423/28468, ttl=64 (no response found!)"
