"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=0, ID=0062) [Reassembled in #8]"
"2","0.000013","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=1440, ID=0062) [Reassembled in #8]"
"3","0.000021","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=2880, ID=0062) [Reassembled in #8]"
"4","0.000029","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=4320, ID=0062) [Reassembled in #8]"
"5","0.000036","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=5760, ID=0062) [Reassembled in #8]"
"6","0.000042","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=7200, ID=0062) [Reassembled in #8]"
"7","0.000050","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=8640, ID=0062) [Reassembled in #8]"
"8","0.000056","10.128.0.2","10.128.0.3","NTP","50","NTP Version 2, private, Response, MON_GETLIST_1"
"9","0.012187","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=0, ID=0062) [Reassembled in #16]"
"10","0.012207","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=1440, ID=0062) [Reassembled in #16]"
"11","0.012214","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=2880, ID=0062) [Reassembled in #16]"
"12","0.012232","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=4320, ID=0062) [Reassembled in #16]"
"13","0.012239","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=5760, ID=0062) [Reassembled in #16]"
"14","0.012246","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=7200, ID=0062) [Reassembled in #16]"
"15","0.012253","10.128.0.2","10.128.0.3","IPv4","1474","Fragmented IP protocol (proto=UDP 17, off=8640, ID=0062) [Reassembled in #16]"
