"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.2","10.128.0.2","TCP","54","3341  >  80 [SYN] Seq=0 Win=512 Len=0"
"2","0.003987","10.128.0.2","10.0.0.2","TCP","58","80  >  3222 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"3","0.005514","10.128.0.2","10.0.0.2","TCP","58","80  >  3341 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"4","0.008429","10.0.0.2","10.128.0.2","TCP","54","3342  >  80 [SYN] Seq=0 Win=512 Len=0"
"5","0.010233","10.128.0.2","10.0.0.2","TCP","58","80  >  3220 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"6","0.014072","10.128.0.2","10.0.0.2","TCP","58","80  >  3342 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"7","0.016830","10.0.0.2","10.128.0.2","TCP","54","3343  >  80 [SYN] Seq=0 Win=512 Len=0"
"8","0.022220","10.128.0.2","10.0.0.2","TCP","58","80  >  3343 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"9","0.023496","10.128.0.2","10.0.0.2","TCP","58","80  >  3219 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"10","0.025243","10.0.0.2","10.128.0.2","TCP","54","3344  >  80 [SYN] Seq=0 Win=512 Len=0"
"11","0.026672","10.128.0.2","10.0.0.2","TCP","58","80  >  3218 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"12","0.028038","10.128.0.2","10.0.0.2","TCP","58","80  >  3221 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"13","0.030523","10.128.0.2","10.0.0.2","TCP","58","80  >  3344 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"14","0.033714","10.0.0.2","10.128.0.2","TCP","54","3345  >  80 [SYN] Seq=0 Win=512 Len=0"
"15","0.039322","10.128.0.2","10.0.0.2","TCP","58","80  >  3345 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"16","0.040725","10.128.0.2","10.0.0.2","TCP","58","80  >  3225 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"17","0.041334","10.128.0.2","10.0.0.2","TCP","58","80  >  3224 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"18","0.042165","10.0.0.2","10.128.0.2","TCP","54","3346  >  80 [SYN] Seq=0 Win=512 Len=0"
"19","0.047510","10.128.0.2","10.0.0.2","TCP","58","80  >  3346 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"20","0.050575","10.0.0.2","10.128.0.2","TCP","54","3347  >  80 [SYN] Seq=0 Win=512 Len=0"
"21","0.051715","10.128.0.2","10.0.0.2","TCP","58","80  >  3223 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"22","0.055986","10.128.0.2","10.0.0.2","TCP","58","80  >  3347 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"23","0.059015","10.0.0.2","10.128.0.2","TCP","54","3348  >  80 [SYN] Seq=0 Win=512 Len=0"
"24","0.064603","10.128.0.2","10.0.0.2","TCP","58","80  >  3348 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"25","0.066994","10.128.0.2","10.0.0.2","TCP","58","80  >  3228 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"26","0.067424","10.0.0.2","10.128.0.2","TCP","54","3349  >  80 [SYN] Seq=0 Win=512 Len=0"
"27","0.073071","10.128.0.2","10.0.0.2","TCP","58","80  >  3349 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"28","0.075693","10.128.0.2","10.0.0.2","TCP","58","80  >  3230 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"29","0.075795","10.0.0.2","10.128.0.2","TCP","54","3350  >  80 [SYN] Seq=0 Win=512 Len=0"
"30","0.081143","10.128.0.2","10.0.0.2","TCP","58","80  >  3350 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"31","0.084204","10.0.0.2","10.128.0.2","TCP","54","3351  >  80 [SYN] Seq=0 Win=512 Len=0"
"32","0.087335","10.128.0.2","10.0.0.2","TCP","58","80  >  3226 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"33","0.089607","10.128.0.2","10.0.0.2","TCP","58","80  >  3351 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"34","0.090910","10.128.0.2","10.0.0.2","TCP","58","80  >  3227 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"35","0.092627","10.0.0.2","10.128.0.2","TCP","54","3352  >  80 [SYN] Seq=0 Win=512 Len=0"
"36","0.098357","10.128.0.2","10.0.0.2","TCP","58","80  >  3352 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"37","0.101039","10.0.0.2","10.128.0.2","TCP","54","3353  >  80 [SYN] Seq=0 Win=512 Len=0"
"38","0.103517","10.128.0.2","10.0.0.2","TCP","58","80  >  3234 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"39","0.103776","10.128.0.2","10.0.0.2","TCP","58","80  >  3229 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"40","0.106718","10.128.0.2","10.0.0.2","TCP","58","80  >  3353 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"41","0.109494","10.0.0.2","10.128.0.2","TCP","54","3354  >  80 [SYN] Seq=0 Win=512 Len=0"
"42","0.114994","10.128.0.2","10.0.0.2","TCP","58","80  >  3354 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"43","0.117896","10.0.0.2","10.128.0.2","TCP","54","3355  >  80 [SYN] Seq=0 Win=512 Len=0"
"44","0.123447","10.128.0.2","10.0.0.2","TCP","58","80  >  3355 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"45","0.126325","10.0.0.2","10.128.0.2","TCP","54","3356  >  80 [SYN] Seq=0 Win=512 Len=0"
"46","0.129691","10.128.0.2","10.0.0.2","TCP","58","80  >  3235 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"47","0.130986","10.128.0.2","10.0.0.2","TCP","58","80  >  3231 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"48","0.131007","10.128.0.2","10.0.0.2","TCP","58","80  >  3232 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"49","0.131835","10.128.0.2","10.0.0.2","TCP","58","80  >  3356 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"50","0.134737","10.0.0.2","10.128.0.2","TCP","54","3357  >  80 [SYN] Seq=0 Win=512 Len=0"
"51","0.139543","10.128.0.2","10.0.0.2","TCP","58","80  >  3233 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
