"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","c4:01:2a:d8:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c4:01:6b:e0:00:00  Cost = 0  Port = 0x802a"
"2","4.731076","c4:01:2a:d8:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c4:01:6b:e0:00:00  Cost = 0  Port = 0x802a"
"3","7.774867","c4:01:2a:d8:f1:01","CDP/VTP/DTP/PAgP/UDLD","CDP","360","Device ID: ESW1  Port ID: FastEthernet1/1  "
"4","9.463339","c4:01:2a:d8:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c4:01:6b:e0:00:00  Cost = 0  Port = 0x802a"
"5","12.405722","10.0.2.15","10.0.2.2","TCP","74","58304  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1570354596 TSecr=0 WS=128"
"6","12.407674","10.0.2.15","10.0.2.2","TCP","74","43624  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1570354596 TSecr=0 WS=128"
"7","12.408651","10.0.2.2","10.0.2.15","TCP","74","80  >  58304 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=400446 TSecr=1570354596 WS=64"
"8","12.408651","10.0.2.2","10.0.2.15","TCP","54","443  >  43624 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","12.410602","10.0.2.15","10.0.2.2","TCP","66","58304  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1570354600 TSecr=400446"
"10","12.410602","10.0.2.15","10.0.2.2","TCP","66","58304  >  80 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1570354600 TSecr=400446"
"11","14.181343","c4:01:2a:d8:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c4:01:6b:e0:00:00  Cost = 0  Port = 0x802a"
"12","17.402877","PCSSystemtec_36:e4:ee","PCSSystemtec_5c:65:26","ARP","42","Who has 10.0.2.15? Tell 10.0.2.2"
"13","17.403859","PCSSystemtec_5c:65:26","PCSSystemtec_36:e4:ee","ARP","60","10.0.2.15 is at 08:00:27:5c:65:26"
"14","17.579540","PCSSystemtec_5c:65:26","PCSSystemtec_36:e4:ee","ARP","60","Who has 10.0.2.2? Tell 10.0.2.15"
